"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000862","동신중학교","03","사립","N","","3학년","남자","58.6","0.00","","12","","","","35.9","","195.6","22.4","","3","3.4","31","35.2","41","46.6","13","14.8","0","0","88"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000862","동신중학교","03","사립","N","","3학년","여자","39.2","0.00","","17","","","","27.2","","147.9","21.3","","5","6","46","54.8","32","38.1","1","1.2","0","0","84"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000863","둔촌중학교","03","공립","Y","코로나19상황으로 인해 PAPS 실시하지 않음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000864","명일중학교","03","공립","Y","감염병 상황을 고려하여 2020학년도 학생 건강체력평가를 미실히함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000865","문정중학교","03","공립","Y","2020학년도 학생건강체력평가 실시를 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000866","방산중학교","03","공립","Y","학교장이 감염병 상황 등을 고려하여 시도교육감 및 교육장의 승인을 받아 2020학년도 학생 건강체력평가 실시를 생략하였음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000867","방이중학교","03","공립","Y","코로나19로 인해 실시하지 않음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000868","배명중학교","03","사립","Y","코로나 19로 인해 시도교육감 및 교육장의 승인을 받아 2020학년도 학생건강체력평가 실시를 생략함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000869","배재중학교","03","사립","Y","2020학년도 코로나로 인해 학생건강체력평가를 하지 않음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000870","보성중학교","03","사립","Y","2020학년도 학생건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
